,time,comment,contributor
0,00:31:02,確率統計で習いました！,A.I.:
1,01:57:58,重回帰のプログラムの実行でエラーが出て来ます。実行結果の見方を教えてもらえますか？,mikio kaihara:
2,01:58:52,TAさんに質問するには、ここで良かったでしょうか？,mikio kaihara:
3,02:28:10,この件、解決しました。,mikio kaihara:
4,03:10:14,ここでエラーが発生するのですが、問題ないでしょうか？,ai1804:
5,03:17:32,NameError: name 'pd' is not definedとエラーが出るのですがどうすればいいですか,弓削林太郎:
6,03:19:27,ai1804さん、ファイルがなぜか開けないので、もう一度お送りいただけますでしょうか？,松尾研_Sasaki:
7,03:22:31,すみません、教えていただきたいです。,柊斗:
8,03:22:35,ここでエラーで進めません,kita nobuhiro:
9,03:24:37,＠kita nobuhiro さん、1つ目のpathはコメントアウトし、2つ目のpathのコメントアウトを外してください,松尾研_Sasaki:
10,03:25:06,解決しました。ありがとうございます,柊斗:
11,03:28:55,今日、ログされたコンテンツはすぐ、見れるようになりますでしょうか？(途中が抜けて、追っかけで見たいので...）,矢島 邦昭(仙台高専):
12,03:29:33,すみません、ここで止まりました,kita nobuhiro:
13,03:31:27,私はここでおこられました,橋本 直己:
14,03:32:23,1.3のところです,橋本 直己:
15,03:33:04,私も同じKeyError出ました,太一 原:
16,03:33:34,6番のビギナーかプロフッシヨナルのところが開けませんでした。,marsa:
17,03:35:08,githubアカウントを事前に香川高専・岩本までご連絡いただいた方の中にアカウントではなくgithub登録時のメールアドレスを記載されている方がいました。その方はフォームより再度回答してください。https://forms.gle/5vP4sFxqLCqFu5MJ8,Naoya Iwamoto:
18,03:35:12,なるほど！解決しました,太一 原:
19,03:35:49,パスワードを入れた後、このようなエラーがでます,kita nobuhiro:
20,03:36:45,　プレビューできませんの状態でした。分かりました。　ありがとうございます。　,marsa:
21,03:37:14,できました！ありがとうございます,kita nobuhiro:
