,time,comment,contributor
0,16:42:45,よろしくお願いします, 開始 コメント見える君/濱田悠璃
1,16:43:39,お願いします！, 開始 コメント見える君/田貝
2,16:43:49,なこちゃん！！, 開始 博光 楓
3,16:47:11,(*ﾉωﾉ), 開始 コメント見える君/田貝
4,16:49:45,わかりました！, 開始 コメント見える君/田貝
5,16:51:19,いいですねｗ, 開始 コメント見える君/田貝
6,16:51:32,みてみたいですね紙芝居, 開始 Comment Share 原田
7,16:53:09,初です, 開始 low vision service/稲垣 徹郎
8,16:54:21,質問いいでしょうか！, 開始 福田修之
9,16:54:32,おもしろそう, 開始 コメント見える君/田貝
10,16:54:53,発表者と全員が閲覧するZoomの会議のルームは一緒でしょうか？, 開始 福田修之
11,16:54:58,スマブラのステージ分類AI, 開始 上野
12,16:56:03,感情認識ビデオチャット Ring, 開始 上野
13,16:57:07,8888888888888, 開始 コメント見える君/田貝
14,16:57:07,888888888888, 開始 吉成祐貴(CommentShare)
15,16:57:15,888888888888, 開始 コメント見える君/濱田悠璃
16,16:57:23,88888888, 開始 Comment Share 原田
17,16:57:38,Hangout-Manager, 開始 上野
18,16:58:05,おしゃれ！！！！！！！！！！！！！！, 開始 コメント見える君/田貝
19,16:58:24,おおおお！, 開始 上野
20,16:58:29,すごい～～～, 開始 コメント見える君/田貝
21,16:58:42,いいですね！！！, 開始 コメント見える君/田貝
22,16:58:45,おもしろそう, 開始 Low vision service / 邊土名朝飛
23,16:58:48,88888888888, 開始 コメント見える君/濱田悠璃
24,16:58:52,ほえ〜〜, 開始 low vision service/稲垣 徹郎
25,16:58:52,88888888888888888888888888888, 開始 コメント見える君/田貝
26,16:59:12,チャット可視化アプリ「コメント見える君」, 開始 上野
27,17:00:39,遺伝的アルゴリズムで動物を歩行させてみよう, 開始 上野
28,17:01:13,弱視者用情報収集支援「 Low vision service」, 開始 上野
29,17:01:40,シンプルできれい。。。, 開始 コメント見える君/濱田悠璃
30,17:01:53,Twitterでハッカソンめちゃくちゃ盛り上がっているのみかけました・・・！, 開始 コメント見える君/田貝
