,time,comment,contributor
0,18:00:39,よろしくお願いします～～～！, 開始 コメント見える君/田貝奈央
1,18:00:50,よろしくお願いします, 開始 コメント見える君/濱田悠璃
2,18:01:17,♡♡♡♡♡♡♡♡♡♡, 開始 miteWM / 多田 てるき
3,18:01:21,ありがとうございます, 開始 コメント見える君/濱田悠璃
4,18:01:31,わいわい, 開始 DMM/菊地
5,18:01:51,よろしくお願いします～～, 開始 CUI風ポートフォリオ/Hata Daichi
6,18:01:56,技育祭すごかったです・・・, 開始 コメント見える君/田貝奈央
7,18:02:08,88888888, 開始 【GMO-I】(シ)元内柊也_325632563
8,18:02:50,頑張ります！！！！！, 開始 コメント見える君/田貝奈央
9,18:03:40,こんな機能が！, 開始 DMM.com 野秋 拓也
10,18:03:49,この機能初めて見ました！, 開始 AxStudio 大渕雄生
11,18:04:06,おおお, 開始 コメント見える君/田貝奈央
12,18:04:33,前向き！！！！！！！！！, 開始 コメント見える君/田貝奈央
13,18:05:06,9%・・・・, 開始 コメント見える君/田貝奈央
14,18:05:20,つよつよのつよつよすぎるつよつよ, 開始 コメント見える君/田貝奈央
15,18:07:10,888, 開始 miteWM / 多田 てるき
16,18:07:11,888888888888888888888, 開始 コメント見える君/田貝奈央
17,18:07:12,888888888888888888, 開始 miteWM / 多田 てるき
18,18:07:14,888888, 開始 Profill / kazuki komori
19,18:07:14,888888888888888, 開始 コメント見える君/濱田悠璃
20,18:07:22,8888888888888888, 開始 CUI風ポートフォリオ/Hata Daichi
21,18:07:24,888888888888888888888888888, 開始 サポーターズ加藤
22,18:07:42,888888888888888, 開始 コメント見える君/濱田悠璃
23,18:07:47,８８８８８８８８８８８８８８, 開始 コメント見える君/田貝奈央
24,18:08:05,DMMとDeNAややこしい問題w, 開始 DMM/菊地
25,18:08:23,88888888888888888888, 開始 コメント見える君/濱田悠璃
26,18:08:25,８８８８８８８８８８８８８８, 開始 サポーターズ松村
27,18:08:28,888888888888888, 開始 Routie秋葉原 / 村中光一
28,18:08:29,88888888888888888888888888888, 開始 サポーターズ加藤
29,18:08:33,88888888888, 開始 miteWM / 多田 てるき
30,18:08:38,88888888888, 開始 CUI風ポートフォリオ/Hata Daichi
31,18:08:59,みなさん感謝感激ーーーーーーーーーーー, 開始 miteWM / 多田 てるき
32,18:09:02,888888888888, 開始 コメント見える君/濱田悠璃
33,18:09:07,88888888888888888888888, 開始 サポーターズ加藤
34,18:09:07,8888888888888888, 開始 コメント見える君/田貝奈央
35,18:09:28,あら, 開始 コメント見える君/田貝奈央
36,18:09:37,8888888888888888888888, 開始 サポーターズ松村
37,18:09:37,8888888888888888888888888, 開始 コメント見える君/田貝奈央
38,18:09:37,88888888888888888, 開始 コメント見える君/濱田悠璃
39,18:09:39,8888888888888888888, 開始 サポーターズ加藤
40,18:09:41,88888888888888888, 開始 Routie秋葉原 / 村中光一
41,18:09:43,888888888888888888, 開始 SOSIAL RESISTANCE/鈴木 大介
42,18:10:11,88888888888888, 開始 コメント見える君/濱田悠璃
43,18:10:13,8888888888888888888888888, 開始 コメント見える君/田貝奈央
44,18:10:15,88888888888888, 開始 サポーターズ加藤
45,18:10:16,8888888888888888888888, 開始 CUI風ポートフォリオ/Hata Daichi
46,18:10:26,よろしくおねがいします～, 開始 コメント見える君/田貝奈央
47,18:10:48,88888888888888, 開始 コメント見える君/濱田悠璃
48,18:10:49,88888888888888888888888, 開始 コメント見える君/田貝奈央
49,18:10:54,888888888888888, 開始 Routie秋葉原 / 村中光一
50,18:10:54,８８８８８８８８８８８８８, 開始 サポーターズ加藤
51,18:11:02,よろしくおねがいします！, 開始 コメント見える君/田貝奈央
52,18:11:29,888888888888888, 開始 コメント見える君/濱田悠璃
53,18:11:29,88888888888888888888888, 開始 コメント見える君/田貝奈央
54,18:11:33,８８８８８８８８８８８８８, 開始 サポーターズ加藤
