,time,comment,contributor
0,19:59:39,お疲れ様でした, 開始 悠璃 濱田
1,19:59:54,おつかれさまでした！！！！！, 開始 コメント見える君/田貝奈央
2,19:59:58,みなさんおつかれさまでした！！！！, 開始 サポーターズ加藤
3,20:00:00,たのしかったです～～～！, 開始 コメント見える君/田貝奈央
4,20:00:07,楽しかったです〜〜！, 開始 柴田佳祐
5,20:00:08,楽しかったです！！, 開始 悠璃 濱田
6,20:00:15,強い方ばかりで怖かったです, 開始 ISHIZAWA KAORU
7,20:00:15,開発の苦労話とか聞けてとてもたのしかったです！, 開始 Ayato Watanabe
8,20:00:16,強い人が多くて刺激になりました！！, 開始 工藤 大地
9,20:00:16,皆さんつよつよでした, 開始 Tsuda Room Search / 柿崎美南乃
10,20:00:17,hokano , 開始 Metal Gear MK2/佐藤 雅也
11,20:00:20,普段聞けない話が聞けて楽しかったです！, 開始 AxStudio 大渕雄生
12,20:00:20,最高でした！, 開始 真虎 新
13,20:00:24,もうちょっと時間ほしかった～！本番後の懇親会もたのしみ！, 開始 GMO_ 田中優希子
14,20:00:27,つよつよさん多い！！, 開始 Profill / kazuki komori
15,20:00:27,でかいOSSの読み方を教えてもらってめちゃくちゃ参考になりました, 開始 伸太朗 冨江
16,20:00:35,他のジャンルの発表者の方の話が面白かったです, 開始 Metal Gear MK2/佐藤 雅也
17,20:00:36,楽しかったです！自分もつよつよになれるよう努力したくなりました！！！！, 開始 卯木優大
18,20:00:36,面白かったです！, 開始 永田篤矢
19,20:00:37,技育展参加してよかった、、（早い）, 開始 吉野 敬太郎
20,20:00:38,旧友に会えたのが嬉しかった〜, 開始 Hangout-Manager / 森雅也
21,20:00:44,とても楽しかったです(^-^), 開始 Personal make up 診断 / 柳田 祐奈
22,20:00:45,企業の方の視点を伺えてよかったです, 開始 Riki Bando
23,20:00:45,もはや異次元のつよつよでした。, 開始 enishi terada
24,20:00:47,もっと話聞きたかったです！, 開始 森友雅
25,20:00:50,(^v^), 開始 Atsushi Kawabe
26,20:00:53,TwitterのFFの方がいらっしゃってびっくりしました笑, 開始 琢翔 山名
27,20:02:42,みんな輝いてる, 開始 GMOインターネット/ 元内柊也 に コメント見える君/田貝奈央(プライベート)
